x y z
0.179688 0.210938 0.141785
0.179688 0.226562 0.138977
0.179688 0.242188 0.136169
0.179688 0.257812 0.133362
0.179688 0.273438 0.130554
0.179688 0.289062 0.127747
0.179688 0.304688 0.124939
0.179688 0.320312 0.122131
0.179688 0.335938 0.119324
0.179688 0.351562 0.116516
0.179688 0.367188 0.113708
0.179688 0.382812 0.110901
0.179688 0.398438 0.108093
0.179688 0.414062 0.105286
0.179688 0.429688 0.102478
0.179688 0.445312 0.099670
0.179688 0.460938 0.096863
0.179688 0.476562 0.094055
0.179688 0.492188 0.091248
0.179688 0.507812 0.088440
0.179688 0.523438 0.085632
0.179688 0.539062 0.082825
0.179688 0.554688 0.080017
0.179688 0.570312 0.077209
0.179688 0.585938 0.074402
0.179688 0.601562 0.071594
0.179688 0.617188 0.068787
0.179688 0.632812 0.065979
0.179688 0.648438 0.063171
0.179688 0.664062 0.060364
0.179688 0.679688 0.057556
0.179688 0.695312 0.054749
0.179688 0.710938 0.051941
0.179688 0.726562 0.049133
0.179688 0.742188 0.046326
0.179688 0.757812 0.043518
0.179688 0.773438 0.040710
0.179688 0.789062 0.037903
0.179688 0.804688 0.035095
0.179688 0.820312 0.032288
0.179688 0.835938 0.029480
0.179688 0.851562 0.026672
0.179688 0.867188 0.023865
0.179688 0.882812 0.021057
0.179688 0.898438 0.018250
0.179688 0.914062 0.015442
0.179688 0.929688 0.012634
0.179688 0.945312 0.009827
0.179688 0.960938 0.007019
0.179688 0.976562 0.004211
0.179688 0.992188 0.001404
0.195312 0.007812 0.006287
0.195312 0.023438 0.018860
0.195312 0.039062 0.031433
0.195312 0.054688 0.044006
0.195312 0.070312 0.056580
0.195312 0.085938 0.069153
0.195312 0.101562 0.081726
0.195312 0.117188 0.094299
0.195312 0.132812 0.106873
0.195312 0.148438 0.119446
0.195312 0.164062 0.132019
0.195312 0.179688 0.144592
0.195312 0.195312 0.157166
0.195312 0.210938 0.154114
0.195312 0.226562 0.151062
0.195312 0.242188 0.148010
0.195312 0.257812 0.144958
0.195312 0.273438 0.141907
0.195312 0.289062 0.138855
0.195312 0.304688 0.135803
0.195312 0.320312 0.132751
0.195312 0.335938 0.129700
0.195312 0.351562 0.126648
0.195312 0.367188 0.123596
0.195312 0.382812 0.120544
0.195312 0.398438 0.117493
0.195312 0.414062 0.114441
0.195312 0.429688 0.111389
0.195312 0.445312 0.108337
0.195312 0.460938 0.105286
0.195312 0.476562 0.102234
0.195312 0.492188 0.099182
0.195312 0.507812 0.096130
0.195312 0.523438 0.093079
0.195312 0.539062 0.090027
0.195312 0.554688 0.086975
0.195312 0.570312 0.083923
0.195312 0.585938 0.080872
0.195312 0.601562 0.077820
0.195312 0.617188 0.074768
0.195312 0.632812 0.071716
0.195312 0.648438 0.068665
0.195312 0.664062 0.065613
0.195312 0.679688 0.062561
0.195312 0.695312 0.059509
0.195312 0.710938 0.056458
0.195312 0.726562 0.053406
0.195312 0.742188 0.050354
0.195312 0.757812 0.047302
0.195312 0.773438 0.044250
0.195312 0.789062 0.041199
0.195312 0.804688 0.038147
0.195312 0.820312 0.035095
0.195312 0.835938 0.032043
0.195312 0.851562 0.028992
0.195312 0.867188 0.025940
0.195312 0.882812 0.022888
0.195312 0.898438 0.019836
0.195312 0.914062 0.016785
0.195312 0.929688 0.013733
0.195312 0.945312 0.010681
0.195312 0.960938 0.007629
0.195312 0.976562 0.004578
0.195312 0.992188 0.001526
0.210938 0.007812 0.006165
0.210938 0.023438 0.018494
0.210938 0.039062 0.030823
0.210938 0.054688 0.043152
0.210938 0.070312 0.055481
0.210938 0.085938 0.067810
0.210938 0.101562 0.080139
0.210938 0.117188 0.092468
0.210938 0.132812 0.104797
0.210938 0.148438 0.117126
0.210938 0.164062 0.129456
0.210938 0.179688 0.141785
0.210938 0.195312 0.154114
0.210938 0.210938 0.166443
0.210938 0.226562 0.163147
0.210938 0.242188 0.159851
0.210938 0.257812 0.156555
0.210938 0.273438 0.153259
0.210938 0.289062 0.149963
0.210938 0.304688 0.146667
0.210938 0.320312 0.143372
0.210938 0.335938 0.140076
0.210938 0.351562 0.136780
0.210938 0.367188 0.133484
0.210938 0.382812 0.130188
0.210938 0.398438 0.126892
0.210938 0.414062 0.123596
0.210938 0.429688 0.120300
0.210938 0.445312 0.117004
0.210938 0.460938 0.113708
0.210938 0.476562 0.110413
0.210938 0.492188 0.107117
0.210938 0.507812 0.103821
0.210938 0.523438 0.100525
0.210938 0.539062 0.097229
0.210938 0.554688 0.093933
0.210938 0.570312 0.090637
0.210938 0.585938 0.087341
0.210938 0.601562 0.084045
0.210938 0.617188 0.080750
0.210938 0.632812 0.077454
0.210938 0.648438 0.074158
0.210938 0.664062 0.070862
0.210938 0.679688 0.067566
0.210938 0.695312 0.064270
0.210938 0.710938 0.060974
0.210938 0.726562 0.057678
0.210938 0.742188 0.054382
0.210938 0.757812 0.051086
0.210938 0.773438 0.047791
0.210938 0.789062 0.044495
0.210938 0.804688 0.041199
0.210938 0.820312 0.037903
0.210938 0.835938 0.034607
0.210938 0.851562 0.031311
0.210938 0.867188 0.028015
0.210938 0.882812 0.024719
0.210938 0.898438 0.021423
0.210938 0.914062 0.018127
0.210938 0.929688 0.014832
0.210938 0.945312 0.011536
0.210938 0.960938 0.008240
0.210938 0.976562 0.004944
0.210938 0.992188 0.001648
0.226562 0.007812 0.006042
0.226562 0.023438 0.018127
0.226562 0.039062 0.030212
0.226562 0.054688 0.042297
0.226562 0.070312 0.054382
0.226562 0.085938 0.066467
0.226562 0.101562 0.078552
0.226562 0.117188 0.090637
0.226562 0.132812 0.102722
0.226562 0.148438 0.114807
0.226562 0.164062 0.126892
0.226562 0.179688 0.138977
0.226562 0.195312 0.151062
0.226562 0.210938 0.163147
0.226562 0.226562 0.175232
0.226562 0.242188 0.171692
0.226562 0.257812 0.168152
0.226562 0.273438 0.164612
0.226562 0.289062 0.161072
0.226562 0.304688 0.157532
0.226562 0.320312 0.153992
0.226562 0.335938 0.150452
0.226562 0.351562 0.146912
0.226562 0.367188 0.143372
0.226562 0.382812 0.139832
0.226562 0.398438 0.136292
0.226562 0.414062 0.132751
0.226562 0.429688 0.129211
0.226562 0.445312 0.125671
0.226562 0.460938 0.122131
0.226562 0.476562 0.118591
0.226562 0.492188 0.115051
0.226562 0.507812 0.111511
0.226562 0.523438 0.107971
0.226562 0.539062 0.104431
